# Logfile created on 2012-09-18 21:54:36 +0000 by logger.rb/31641
D, [2012-09-18T21:55:04.123721 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005304.1225855,"packet":"temperature_cellar 17.4375"}
D, [2012-09-18T21:55:04.124428 #20607] DEBUG -- : Handle: on_receive: {"received":1348005304.1225855,"packet":"temperature_cellar 17.4375","data_store":"30_camp_ground_road","source":"temperature_cellar","source_type":"gauge"}
D, [2012-09-18T21:55:04.125016 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005304.1225855,"packet":"temperature_cellar 17.4375","data_store":"30_camp_ground_road","source":"temperature_cellar","source_type":"gauge"}
D, [2012-09-18T21:55:04.139499 #20607] DEBUG -- : Handle: add_converted_values: {"received":1348005304.1225855,"packet":"temperature_cellar 17.4375","data_store":"30_camp_ground_road","source":"temperature_cellar","source_type":"gauge","local_time":1348012504.1225855,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129735,"float_value":17.4375,"integer_value":17}
D, [2012-09-18T21:55:04.140169 #20607] DEBUG -- : Handle: after_received: {"received":1348005304.1225855,"packet":"temperature_cellar 17.4375","data_store":"30_camp_ground_road","source":"temperature_cellar","source_type":"gauge","local_time":1348012504.1225855,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129735,"float_value":17.4375,"integer_value":17,"converted_value":17.4375}
D, [2012-09-18T21:55:06.553832 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005306.548585,"packet":"temperature_outside 16.375"}
D, [2012-09-18T21:55:06.555074 #20607] DEBUG -- : Handle: on_receive: {"received":1348005306.548585,"packet":"temperature_outside 16.375","data_store":"30_camp_ground_road","source":"temperature_outside","source_type":"gauge"}
D, [2012-09-18T21:55:06.555641 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005306.548585,"packet":"temperature_outside 16.375","data_store":"30_camp_ground_road","source":"temperature_outside","source_type":"gauge"}
D, [2012-09-18T21:55:06.572271 #20607] DEBUG -- : Handle: add_converted_values: {"received":1348005306.548585,"packet":"temperature_outside 16.375","data_store":"30_camp_ground_road","source":"temperature_outside","source_type":"gauge","local_time":1348012506.548585,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129736,"float_value":16.375,"integer_value":16}
D, [2012-09-18T21:55:06.572883 #20607] DEBUG -- : Handle: after_received: {"received":1348005306.548585,"packet":"temperature_outside 16.375","data_store":"30_camp_ground_road","source":"temperature_outside","source_type":"gauge","local_time":1348012506.548585,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129736,"float_value":16.375,"integer_value":16,"converted_value":16.375}
D, [2012-09-18T21:55:07.621052 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005307.620006,"packet":"electricity_pool 123243"}
D, [2012-09-18T21:55:07.621693 #20607] DEBUG -- : Handle: on_receive: {"received":1348005307.620006,"packet":"electricity_pool 123243","data_store":"30_camp_ground_road","source":"electricity_pool","source_type":"pulse"}
D, [2012-09-18T21:55:07.622231 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005307.620006,"packet":"electricity_pool 123243","data_store":"30_camp_ground_road","source":"electricity_pool","source_type":"pulse"}
D, [2012-09-18T21:55:07.642158 #20607] DEBUG -- : Handle: handle_pulse_specific_calculations: {"received":1348005307.620006,"packet":"electricity_pool 123243","data_store":"30_camp_ground_road","source":"electricity_pool","source_type":"pulse","local_time":1348012507.620006,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129737,"float_value":123243.0,"integer_value":123243}
D, [2012-09-18T21:55:07.643042 #20607] DEBUG -- : Handle: after_received: {"received":1348005307.620006,"packet":"electricity_pool 123243","data_store":"30_camp_ground_road","source":"electricity_pool","source_type":"pulse","local_time":1348012507.620006,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129737,"float_value":123243.0,"integer_value":123243,"converted_value":0}
D, [2012-09-18T21:55:08.996590 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005308.9955573,"packet":"temperature_inside 18.3125"}
D, [2012-09-18T21:55:08.997236 #20607] DEBUG -- : Handle: on_receive: {"received":1348005308.9955573,"packet":"temperature_inside 18.3125","data_store":"30_camp_ground_road","source":"temperature_inside","source_type":"gauge"}
D, [2012-09-18T21:55:08.997781 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005308.9955573,"packet":"temperature_inside 18.3125","data_store":"30_camp_ground_road","source":"temperature_inside","source_type":"gauge"}
D, [2012-09-18T21:55:09.015275 #20607] DEBUG -- : Handle: add_converted_values: {"received":1348005308.9955573,"packet":"temperature_inside 18.3125","data_store":"30_camp_ground_road","source":"temperature_inside","source_type":"gauge","local_time":1348012508.9955573,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129738,"float_value":18.3125,"integer_value":18}
D, [2012-09-18T21:55:09.015950 #20607] DEBUG -- : Handle: after_received: {"received":1348005308.9955573,"packet":"temperature_inside 18.3125","data_store":"30_camp_ground_road","source":"temperature_inside","source_type":"gauge","local_time":1348012508.9955573,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129738,"float_value":18.3125,"integer_value":18,"converted_value":18.3125}
